Layer1,Layer2,DKL
35-,66-,1.682440149364993
35-,68-,1.7508898065425456
35-,69-,1.7508898065425456
35-,71-,1.8539862546604127
35-,72-,1.8539862546604127
35-,75-,1.9048060709610581
35-,76-,1.9048060709610581
35-,78-,1.9950979000423104
35-,79-,1.9950979000423104
35-,81-,2.076957534532994
35-,82-,2.076957534532994
35-,84-,2.2284766498487443
38-,41-,0.21850776716019027
38-,42-,0.21850776716019027
38-,44-,0.3922115500899963
38-,45-,0.3922115500899963
38-,47-,0.6875859354622662
38-,48-,0.6875859354622662
38-,50-,0.8519069587346166
38-,51-,0.8519069587346166
38-,53-,1.051568622351624
38-,54-,1.051568622351624
38-,56-,1.179898419417441
38-,57-,1.179898419417441
38-,59-,1.3288667318411171
38-,60-,1.3288667318411171
38-,62-,1.4030679950956255
38-,63-,1.4030679950956255
38-,65-,1.5249737752601504
38-,66-,1.5249737752601504
38-,68-,1.593423418002203
38-,69-,1.593423418002203
38-,71-,1.6965199259575456
38-,72-,1.6965199259575456
38-,75-,1.7473397150170058
38-,76-,1.7473397150170058
38-,78-,1.8376315659843385
38-,79-,1.8376315659843385
38-,81-,1.9194912111852318
38-,82-,1.9194912111852318
38-,84-,2.0710102836601436
39-,41-,0.21850776716019027
39-,42-,0.21850776716019027
39-,44-,0.3922115500899963
39-,45-,0.3922115500899963
39-,47-,0.6875859354622662
39-,48-,0.6875859354622662
39-,50-,0.8519069587346166
39-,51-,0.8519069587346166
39-,53-,1.051568622351624
39-,54-,1.051568622351624
39-,56-,1.179898419417441
39-,57-,1.179898419417441
39-,59-,1.3288667318411171
39-,60-,1.3288667318411171
39-,62-,1.4030679950956255
39-,63-,1.4030679950956255
39-,65-,1.5249737752601504
39-,66-,1.5249737752601504
39-,68-,1.593423418002203
39-,69-,1.593423418002203
39-,71-,1.6965199259575456
39-,72-,1.6965199259575456
39-,75-,1.7473397150170058
39-,76-,1.7473397150170058
39-,78-,1.8376315659843385
39-,79-,1.8376315659843385
39-,81-,1.9194912111852318
39-,82-,1.9194912111852318
